repo_full_name,contributor_login,contributions,type
encode/httpx,tomasfarias,1,User
encode/httpx,trondhindenes,1,User
encode/httpx,hexarobi,1,User
encode/httpx,wozniakty,1,User
encode/httpx,tyrelsouza,1,User
encode/httpx,michaelfeil,1,User
encode/httpx,michaeloliverx,1,User
encode/httpx,minho42,1,User
encode/httpx,fristhon,1,User
encode/httpx,Midnighter,1,User
encode/httpx,naveensrinivasan,1,User
encode/httpx,mymedia2,1,User
encode/httpx,Nnonexistent,1,User
tornadoweb/tornado,bdarnell,3560,User
tornadoweb/tornado,Ben Darnell,120,Anonymous
tornadoweb/tornado,ajdavis,91,User
tornadoweb/tornado,ploxiln,44,User
tornadoweb/tornado,finiteloop,34,User
tornadoweb/tornado,pitrou,34,User
tornadoweb/tornado,minrk,33,User
tornadoweb/tornado,dependabot[bot],28,Bot
tornadoweb/tornado,mivade,27,User
tornadoweb/tornado,alekstorm,19,User
tornadoweb/tornado,takluyver,18,User
tornadoweb/tornado,wolever,16,User
tornadoweb/tornado,daftshady,15,User
tornadoweb/tornado,leekchan,13,User
tornadoweb/tornado,A. Jesse Jiryu Davis,12,Anonymous
tornadoweb/tornado,Casey,12,Anonymous
tornadoweb/tornado,graingert,12,User
tornadoweb/tornado,mrjoes,12,User
tornadoweb/tornado,birkjernstrom,10,User
tornadoweb/tornado,rgbkrk,10,User
tornadoweb/tornado,unknown,10,Anonymous
tornadoweb/tornado,schlamar,10,User
tornadoweb/tornado,garenchan,10,User
tornadoweb/tornado,ovidiucp,9,User
tornadoweb/tornado,homm,9,User
tornadoweb/tornado,tatiana,8,User
tornadoweb/tornado,Andrey Sumin,8,Anonymous
tornadoweb/tornado,spaceone,8,User
tornadoweb/tornado,jparise,8,User
tornadoweb/tornado,mr-ping,7,User
tornadoweb/tornado,lilydjwg,7,User
tornadoweb/tornado,dano,7,User
tornadoweb/tornado,bergundy,7,User
tornadoweb/tornado,james-viasat,7,User
tornadoweb/tornado,flodiebold,7,User
tornadoweb/tornado,davidwilemski,7,User
tornadoweb/tornado,Akihiro Yamazaki,6,Anonymous
tornadoweb/tornado,Benjamin Golub,6,Anonymous
tornadoweb/tornado,Bret Taylor,6,Anonymous
tornadoweb/tornado,mirceaulinic,6,User
tornadoweb/tornado,GeekDuanLian,6,User
tornadoweb/tornado,st4lk,6,User
tornadoweb/tornado,youguanxinqing,6,User
tornadoweb/tornado,methane,6,User
tornadoweb/tornado,zhicheng,6,User
tornadoweb/tornado,ysimonson,5,User
tornadoweb/tornado,Szabó Antal,5,Anonymous
tornadoweb/tornado,sclm,5,User
tornadoweb/tornado,Parkayun,5,User
tornadoweb/tornado,msabramo,5,User
tornadoweb/tornado,jehiah,5,User
tornadoweb/tornado,andreasrosdal,5,User
tornadoweb/tornado,igorsobreira,5,User
tornadoweb/tornado,wsantos,4,User
tornadoweb/tornado,cloudaice,4,User
tornadoweb/tornado,caseymrm,4,User
tornadoweb/tornado,SuminAndrew,4,User
tornadoweb/tornado,bfis,4,User
tornadoweb/tornado,tiwilliam,4,User
tornadoweb/tornado,vkosh,4,User
tornadoweb/tornado,MrTravisB,4,User
tornadoweb/tornado,alanhogan,4,User
tornadoweb/tornado,ei-grad,4,User
tornadoweb/tornado,klaussfreire,4,User
tornadoweb/tornado,codeb2cc,4,User
tornadoweb/tornado,evanj,4,User
tornadoweb/tornado,grafuls,4,User
tornadoweb/tornado,pjknkda,4,User
tornadoweb/tornado,emehrkay,4,User
tornadoweb/tornado,Sebastien Boving,4,Anonymous
tornadoweb/tornado,tarnfeld,4,User
tornadoweb/tornado,Omri Bahumi,3,Anonymous
tornadoweb/tornado,phihag,3,User
tornadoweb/tornado,remram44,3,User
tornadoweb/tornado,Steve Peak,3,Anonymous
tornadoweb/tornado,stevepeak,3,User
tornadoweb/tornado,noyainrain,3,User
tornadoweb/tornado,protoss-player,3,User
tornadoweb/tornado,Maillol,3,User
tornadoweb/tornado,Willem de Groot,3,Anonymous
tornadoweb/tornado,kriskros341,3,User
tornadoweb/tornado,laggardkernel,3,User
tornadoweb/tornado,marc,3,Anonymous
tornadoweb/tornado,szweep,3,User
tornadoweb/tornado,qcha0,3,User
tornadoweb/tornado,dave-shawley,3,User
tornadoweb/tornado,stiletto,3,User
tornadoweb/tornado,Lancher,3,User
tornadoweb/tornado,kachayev,3,User
tornadoweb/tornado,andrewrabert,3,User
tornadoweb/tornado,anton-ryzhov,3,User
tornadoweb/tornado,amorton,3,User
tornadoweb/tornado,fiam,3,User
tornadoweb/tornado,Caligatio,3,User
tornadoweb/tornado,kinow,3,User
tornadoweb/tornado,ColorFuzzy,3,User
tornadoweb/tornado,djvis,3,User
tornadoweb/tornado,Didip Kerabat,3,Anonymous
tornadoweb/tornado,nickcoutsos,3,User
tornadoweb/tornado,Mike Koss,3,Anonymous
aio-libs/aiohttp,asvetlov,4439,User
aio-libs/aiohttp,dependabot[bot],1896,Bot
aio-libs/aiohttp,patchback[bot],988,Bot
aio-libs/aiohttp,bdraco,883,User
aio-libs/aiohttp,fafhrd91,775,User
aio-libs/aiohttp,Dreamsorcerer,545,User
aio-libs/aiohttp,webknjaz,522,User
aio-libs/aiohttp,dependabot-preview[bot],236,Bot
aio-libs/aiohttp,Nikolay Kim,212,Anonymous
aio-libs/aiohttp,pyup-bot,206,User
aio-libs/aiohttp,kxepal,79,User
aio-libs/aiohttp,popravich,72,User
aio-libs/aiohttp,pre-commit-ci[bot],51,Bot
aio-libs/aiohttp,jashandeep-sohi,45,User
aio-libs/aiohttp,samuelcolvin,37,User
aio-libs/aiohttp,mind1m,34,User
aio-libs/aiohttp,aio-libs-github-bot[bot],33,Bot
aio-libs/aiohttp,Cycloctane,30,User
aio-libs/aiohttp,pfreixes,28,User
aio-libs/aiohttp,arthurdarcet,28,User
aio-libs/aiohttp,derlih,25,User
aio-libs/aiohttp,jettify,25,User
aio-libs/aiohttp,l1storez,22,User
aio-libs/aiohttp,rutsky,22,User
aio-libs/aiohttp,socketpair,22,User
aio-libs/aiohttp,github-actions[bot],20,Bot
aio-libs/aiohttp,andrewleech,19,User
aio-libs/aiohttp,cdce8p,19,User
aio-libs/aiohttp,Marco Paolini,19,Anonymous
aio-libs/aiohttp,greshilov,18,User
aio-libs/aiohttp,argaen,17,User
aio-libs/aiohttp,scop,17,User
aio-libs/aiohttp,steverep,17,User
aio-libs/aiohttp,Sergey Skripnick,17,Anonymous
aio-libs/aiohttp,alexdutton,16,User
aio-libs/aiohttp,thehesiod,13,User
aio-libs/aiohttp,eteamin,13,User
aio-libs/aiohttp,lphuberdeau,13,User
aio-libs/aiohttp,cecton,12,User
aio-libs/aiohttp,jairhenrique,12,User
aio-libs/aiohttp,luhn,12,User
aio-libs/aiohttp,akhomchenko,11,User
aio-libs/aiohttp,hellysmile,11,User
aio-libs/aiohttp,homm,11,User
aio-libs/aiohttp,penguinolog,11,User
aio-libs/aiohttp,terencehonles,10,User
aio-libs/aiohttp,davebshow,10,User
aio-libs/aiohttp,magv,10,User
aio-libs/aiohttp,graingert,10,User
aio-libs/aiohttp,JustinTArthur,10,User
aio-libs/aiohttp,AraHaan,9,User
aio-libs/aiohttp,Harmon758,9,User
aio-libs/aiohttp,jelmer,9,User
aio-libs/aiohttp,Hanaasagi,9,User
aio-libs/aiohttp,flying-sheep,9,User
aio-libs/aiohttp,Alec Hanefeld,8,Anonymous
aio-libs/aiohttp,f0t0n,8,User
aio-libs/aiohttp,gabtremblay,8,User
aio-libs/aiohttp,hynek,8,User
aio-libs/aiohttp,mgorny,8,User
aio-libs/aiohttp,layday,8,User
aio-libs/aiohttp,playpauseandstop,7,User
aio-libs/aiohttp,tumb1er,7,User
aio-libs/aiohttp,Artem Yushkovskiy,7,Anonymous
aio-libs/aiohttp,Martiusweb,7,User
aio-libs/aiohttp,thomaszdxsn,7,User
aio-libs/aiohttp,gyermolenko,6,User
aio-libs/aiohttp,realcr,6,User
aio-libs/aiohttp,roganov,6,User
aio-libs/aiohttp,TimMenninger,6,User
aio-libs/aiohttp,alefteris,6,User
aio-libs/aiohttp,AtomsForPeace,6,User
aio-libs/aiohttp,ludovic-gasc,6,User
aio-libs/aiohttp,achimnol,6,User
aio-libs/aiohttp,Gennady-Andreyev,6,User
aio-libs/aiohttp,bmuller,6,User
aio-libs/aiohttp,Anes Abismail,6,Anonymous
