repo_full_name,package_name,osv_id,severity_class,severity_raw,published,fix_version,fix_date,time_to_fix_days,is_fixed,aliases,duration_days,severity_missing
tensorflow/tensorflow,tensorflow,GHSA-rh87-q4vg-m45j,unknown,,2022-09-16T21:20:28Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.10114603165508,1,BIT-tensorflow-2022-36015;CVE-2022-36015,-123.10114603165508,1
tensorflow/tensorflow,tensorflow,GHSA-rhrq-64mq-hf9h,medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2021-08-25T14:40:16Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.700472888229166,1,BIT-tensorflow-2021-37683;CVE-2021-37683;PYSEC-2021-305;PYSEC-2021-596;PYSEC-2021-794,-14.700472888229166,0
tensorflow/tensorflow,tensorflow,GHSA-rjjg-hgv6-h69v,high,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:L,2020-09-25T18:28:27Z,2.2.1,2020-09-24 19:03:23.545007+00:00,-0.975734432789352,1,BIT-tensorflow-2020-15193;CVE-2020-15193;PYSEC-2020-116;PYSEC-2020-273;PYSEC-2020-308,-0.975734432789352,0
tensorflow/tensorflow,tensorflow,GHSA-rjx6-v474-2ch9,high,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:H,2022-11-21T22:17:43Z,2.8.4,2022-11-16 18:45:38.407286+00:00,-5.14727537863426,1,BIT-tensorflow-2022-41909;CVE-2022-41909,-5.14727537863426,0
tensorflow/tensorflow,tensorflow,GHSA-rmg2-f698-wq35,high,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:H,2022-11-21T21:53:52Z,2.8.4,2022-11-16 18:45:38.407286+00:00,-5.13071287863426,1,BIT-tensorflow-2022-41896;CVE-2022-41896,-5.13071287863426,0
tensorflow/tensorflow,tensorflow,GHSA-rrfp-j2mp-hq9c,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2020-11-13T17:13:04Z,2.4.0,2020-12-14 17:58:05.761538+00:00,31.031270388171293,1,BIT-tensorflow-2020-15265;CVE-2020-15265;PYSEC-2020-138;PYSEC-2020-295;PYSEC-2020-330,31.031270388171293,0
tensorflow/tensorflow,tensorflow,GHSA-rrx2-r989-2c43,high,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2022-02-09T23:39:33Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.280255660601852,1,BIT-tensorflow-2022-23567;CVE-2022-23567;PYSEC-2022-131;PYSEC-2022-76,-7.280255660601852,0
tensorflow/tensorflow,tensorflow,GHSA-rww7-2gpw-fv6j,high,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2022-02-09T23:28:29Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.272570475416667,1,BIT-tensorflow-2022-23572;CVE-2022-23572;PYSEC-2022-136;PYSEC-2022-81,-7.272570475416667,0
tensorflow/tensorflow,tensorflow,GHSA-v3f7-j968-4h5f,high,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2022-02-10T00:15:07Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.304954734675927,1,BIT-tensorflow-2022-21725;CVE-2022-21725;PYSEC-2022-104;PYSEC-2022-49,-7.304954734675927,0
tensorflow/tensorflow,tensorflow,GHSA-v52p-hfjf-wg88,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:27:54Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.27333394715278,1,BIT-tensorflow-2021-29597;CVE-2021-29597;PYSEC-2021-234;PYSEC-2021-525;PYSEC-2021-723,25.27333394715278,0
tensorflow/tensorflow,tensorflow,GHSA-v5xg-3q2c-c2r4,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T22:11:18Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.136446957581,1,BIT-tensorflow-2022-35960;CVE-2022-35960,-123.136446957581,0
tensorflow/tensorflow,tensorflow,GHSA-v6h3-348g-6h5x,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T22:16:30Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.14005806869211,1,BIT-tensorflow-2022-35967;CVE-2022-35967,-123.14005806869211,0
tensorflow/tensorflow,tensorflow,GHSA-v6r6-84gr-92rm,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:26:18Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.27444505826389,1,BIT-tensorflow-2021-29577;CVE-2021-29577;PYSEC-2021-214;PYSEC-2021-505;PYSEC-2021-703,25.27444505826389,0
tensorflow/tensorflow,tensorflow,GHSA-v768-w7m9-2vmm,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:41:26Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701283073414352,1,BIT-tensorflow-2021-37676;CVE-2021-37676;PYSEC-2021-298;PYSEC-2021-589;PYSEC-2021-787,-14.701283073414352,0
tensorflow/tensorflow,tensorflow,GHSA-v7vw-577f-vp8x,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T22:26:12Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.14679417980324,1,BIT-tensorflow-2022-35979;CVE-2022-35979,-123.14679417980324,0
