repo_full_name,quarter,critical,high,medium,unknown,low,vuln_total,vuln_severe
paramiko/paramiko,2008-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
paramiko/paramiko,2018-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
paramiko/paramiko,2018-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
paramiko/paramiko,2018-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
paramiko/paramiko,2022-Q1,0.0,1.0,0.0,1.0,0,2.0,1.0
paramiko/paramiko,2022-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
paramiko/paramiko,2023-Q4,1.0,0.0,0.0,0.0,0,1.0,1.0
psf/black,2024-Q1,0.0,1.0,0.0,1.0,0,2.0,1.0
psf/requests,2014-Q4,0.0,0.0,0.0,2.0,0,2.0,0.0
psf/requests,2015-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
psf/requests,2018-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
psf/requests,2022-Q2,0.0,2.0,0.0,1.0,0,3.0,2.0
psf/requests,2023-Q2,0.0,1.0,0.0,1.0,0,2.0,1.0
psf/requests,2024-Q2,0.0,0.0,1.0,0.0,0,1.0,0.0
psf/requests,2025-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
pyca/cryptography,2017-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
pyca/cryptography,2018-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
pyca/cryptography,2020-Q4,0.0,1.0,0.0,0.0,0,1.0,1.0
pyca/cryptography,2021-Q1,1.0,0.0,0.0,2.0,0,3.0,1.0
pyca/cryptography,2022-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
pyca/cryptography,2022-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
pyca/cryptography,2023-Q1,1.0,1.0,0.0,0.0,0,2.0,2.0
pyca/cryptography,2023-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
pyca/cryptography,2023-Q3,1.0,0.0,0.0,3.0,0,4.0,1.0
pyca/cryptography,2023-Q4,2.0,0.0,0.0,0.0,0,2.0,2.0
pyca/cryptography,2024-Q1,3.0,0.0,1.0,0.0,0,4.0,3.0
pyca/cryptography,2024-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
pyca/cryptography,2025-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
pyca/cryptography,2026-Q1,1.0,0.0,0.0,0.0,0,1.0,1.0
pyca/pyopenssl,2013-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
pyca/pyopenssl,2018-Q4,2.0,0.0,0.0,2.0,0,4.0,2.0
pyca/pyopenssl,2022-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
pydantic/pydantic,2021-Q2,0.0,0.0,1.0,1.0,0,2.0,0.0
pydantic/pydantic,2024-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
pypa/pip,2013-Q3,0.0,0.0,0.0,2.0,0,2.0,0.0
pypa/pip,2014-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
pypa/pip,2019-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
pypa/pip,2020-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
pypa/pip,2021-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
pypa/pip,2021-Q4,0.0,1.0,0.0,1.0,0,2.0,1.0
pypa/pip,2022-Q2,2.0,2.0,0.0,0.0,0,4.0,4.0
pypa/pip,2023-Q4,0.0,0.0,2.0,0.0,0,2.0,0.0
pypa/pip,2025-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
pypa/pip,2026-Q1,0.0,0.0,1.0,0.0,0,1.0,0.0
pypa/setuptools,2013-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
pypa/setuptools,2022-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
pypa/setuptools,2022-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
pypa/setuptools,2024-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
pypa/setuptools,2025-Q2,2.0,0.0,0.0,0.0,0,2.0,2.0
pypa/wheel,2022-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
pypa/wheel,2026-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
python-babel/babel,2021-Q4,0.0,1.0,0.0,1.0,0,2.0,1.0
python-pillow/Pillow,2014-Q2,0.0,0.0,0.0,3.0,0,3.0,0.0
python-pillow/Pillow,2014-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
python-pillow/Pillow,2015-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
python-pillow/Pillow,2015-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
python-pillow/Pillow,2016-Q2,0.0,0.0,0.0,3.0,0,3.0,0.0
python-pillow/Pillow,2016-Q4,0.0,0.0,0.0,2.0,0,2.0,0.0
python-pillow/Pillow,2017-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
python-pillow/Pillow,2018-Q3,1.0,4.0,1.0,0.0,0,6.0,5.0
python-pillow/Pillow,2019-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
python-pillow/Pillow,2020-Q1,0.0,0.0,0.0,5.0,0,5.0,0.0
python-pillow/Pillow,2020-Q2,1.0,1.0,1.0,5.0,0,8.0,2.0
python-pillow/Pillow,2020-Q3,1.0,1.0,2.0,0.0,0,4.0,2.0
python-pillow/Pillow,2021-Q1,8.0,3.0,0.0,11.0,0,22.0,11.0
python-pillow/Pillow,2021-Q2,5.0,0.0,2.0,6.0,0,13.0,5.0
python-pillow/Pillow,2021-Q3,1.0,0.0,0.0,2.0,0,3.0,1.0
python-pillow/Pillow,2021-Q4,3.0,0.0,1.0,0.0,0,4.0,3.0
python-pillow/Pillow,2022-Q1,2.0,2.0,0.0,5.0,0,9.0,4.0
python-pillow/Pillow,2022-Q2,7.0,1.0,1.0,0.0,0,9.0,8.0
python-pillow/Pillow,2022-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
python-pillow/Pillow,2022-Q4,2.0,0.0,0.0,3.0,0,5.0,2.0
python-pillow/Pillow,2023-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
python-pillow/Pillow,2023-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
python-pillow/Pillow,2024-Q1,1.0,0.0,0.0,0.0,0,1.0,1.0
python-pillow/Pillow,2024-Q2,0.0,0.0,1.0,0.0,0,1.0,0.0
python-pillow/Pillow,2025-Q3,0.0,1.0,0.0,1.0,0,2.0,1.0
python-pillow/Pillow,2026-Q1,1.0,0.0,0.0,0.0,0,1.0,1.0
python-websockets/websockets,2018-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
python-websockets/websockets,2018-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
python-websockets/websockets,2021-Q2,0.0,1.0,0.0,1.0,0,2.0,1.0
redis/redis-py,2023-Q1,0.0,2.0,0.0,2.0,0,4.0,2.0
scikit-learn/scikit-learn,2020-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
scikit-learn/scikit-learn,2020-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
scikit-learn/scikit-learn,2022-Q2,2.0,0.0,0.0,0.0,0,2.0,2.0
scikit-learn/scikit-learn,2024-Q2,0.0,1.0,1.0,0.0,0,2.0,1.0
scipy/scipy,2019-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
scipy/scipy,2022-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
scipy/scipy,2023-Q3,0.0,0.0,0.0,2.0,0,2.0,0.0
scrapy/scrapy,2017-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
scrapy/scrapy,2021-Q4,0.0,1.0,0.0,1.0,0,2.0,1.0
scrapy/scrapy,2022-Q1,0.0,1.0,0.0,2.0,0,3.0,1.0
scrapy/scrapy,2022-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
scrapy/scrapy,2022-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
scrapy/scrapy,2024-Q1,3.0,1.0,0.0,0.0,0,4.0,4.0
scrapy/scrapy,2024-Q2,0.0,3.0,0.0,1.0,0,4.0,3.0
scrapy/scrapy,2025-Q4,1.0,0.0,0.0,0.0,0,1.0,1.0
sqlalchemy/mako,2010-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
sqlalchemy/mako,2022-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
sqlalchemy/mako,2022-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
sqlalchemy/sqlalchemy,2012-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
sqlalchemy/sqlalchemy,2019-Q1,0.0,0.0,0.0,2.0,0,2.0,0.0
sqlalchemy/sqlalchemy,2019-Q2,1.0,1.0,0.0,0.0,0,2.0,2.0
sqlalchemy/sqlalchemy,2022-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
strawberry-graphql/strawberry,2024-Q3,1.0,0.0,1.0,0.0,0,2.0,1.0
strawberry-graphql/strawberry,2025-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
tensorflow/tensorflow,2019-Q2,4.0,2.0,0.0,6.0,0,12.0,6.0
tensorflow/tensorflow,2019-Q4,0.0,0.0,1.0,1.0,0,2.0,0.0
tensorflow/tensorflow,2020-Q1,0.0,0.0,1.0,1.0,0,2.0,0.0
tensorflow/tensorflow,2020-Q2,0.0,1.0,0.0,1.0,0,2.0,1.0
tensorflow/tensorflow,2020-Q3,17.0,8.0,0.0,25.0,0,50.0,25.0
tensorflow/tensorflow,2020-Q4,1.0,1.0,5.0,8.0,0,15.0,2.0
tensorflow/tensorflow,2021-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
tensorflow/tensorflow,2021-Q2,0.0,6.0,101.0,108.0,0,215.0,6.0
tensorflow/tensorflow,2021-Q3,2.0,29.0,27.0,58.0,0,116.0,31.0
